"Date(UTC)","UnixTimeStamp","Supply","MarketCap","Price"
"2/15/2021","1613347200","114687352.96875","204074.67587259375","1,779.40"
"2/16/2021","1613433600","114700818.84375","204492.0608592028125","1,782.83"
"2/17/2021","1613520000","114714429.28125","212352.468619693125","1,851.14"
"2/18/2021","1613606400","114727874.15625","222527.3319922040625","1,939.61"
"2/19/2021","1613692800","114741569.21875","224603.1794986265625","1,957.47"
"2/20/2021","1613779200","114755073.46875","219769.7363014725","1,915.12"
"2/21/2021","1613865600","114768586.90625","222093.283265760625","1,935.14"
"2/22/2021","1613952000","114782086.78125","204090.5850431371875","1,778.07"
"2/23/2021","1614038400","114795645.09375","181169.3391305053125","1,578.19"
"2/24/2021","1614124800","114809111.40625","186584.3235840953125","1,625.17"
"2/25/2021","1614211200","114822653.71875","170153.39409274125","1,481.88"
"2/26/2021","1614297600","114836253.59375","166064.706321921875","1,446.10"
"2/27/2021","1614384000","114849767.40625","167707.0758596284375","1,460.23"
"2/28/2021","1614470400","114863230.03125","163402.133777855625","1,422.58"
"3/1/2021","1614556800","114876696.90625","180527.5804212028125","1,571.49"
"3/2/2021","1614643200","114890349.78125","171033.8170088534375","1,488.67"
"3/3/2021","1614729600","114903714.03125","180243.7110151203125","1,568.65"
"3/4/2021","1614816000","114917322.09375","176785.3607893621875","1,538.37"
"3/5/2021","1614902400","114930891.21875","175815.5308418828125","1,529.75"
"3/6/2021","1614988800","114944530.78125","189828.59369461875","1,651.48"
"3/7/2021","1615075200","114958007.34375","198455.4568177359375","1,726.33"
"3/8/2021","1615161600","114971548.53125","210913.0063496075","1,834.48"
"3/9/2021","1615248000","114985010.78125","215263.438683578125","1,872.10"
"3/10/2021","1615334400","114998602.90625","206494.9413365496875","1,795.63"
"3/11/2021","1615420800","115011963.96875","210133.758888744375","1,827.06"
"3/12/2021","1615507200","115025478.65625","203338.5904041590625","1,767.77"
"3/13/2021","1615593600","115039053.15625","221010.728142724375","1,921.18"
"3/14/2021","1615680000","115052710.03125","212696.7945076715625","1,848.69"
"3/15/2021","1615766400","115066150.28125","206524.1785092959375","1,794.83"
"3/16/2021","1615852800","115079723.28125","207792.55154555625","1,805.64"
